Date,Open Price,High Price,Low Price,Close Price,Deliverable Volume
2021-10-21,3604.1,3607.45,3511.25,3532.5,3125514
2021-10-22,3560.0,3561.6,3485.0,3498.85,1700467
2021-10-25,3503.0,3514.55,3450.0,3492.95,1627737
2021-10-26,3494.5,3529.0,3475.0,3482.6,2821225
2021-10-27,3483.0,3511.25,3483.0,3489.75,1766894
2021-10-28,3518.0,3518.0,3415.0,3421.65,1497979
2021-10-29,3400.05,3461.0,3385.95,3397.75,2238879
2021-11-01,3437.95,3487.0,3412.95,3476.4,1166862
2021-11-02,3494.0,3513.6,3469.75,3484.2,2067119
2021-11-03,3504.2,3519.9,3466.05,3492.25,791208
2021-11-04,3512.95,3513.25,3505.0,3508.65,246904
2021-11-08,3548.0,3548.0,3481.2,3502.75,1652814
2021-11-09,3508.0,3535.0,3496.0,3505.7,1106403
2021-11-10,3498.0,3519.7,3480.2,3484.3,955899
2021-11-11,3480.0,3510.05,3436.0,3488.2,614576
2021-11-12,3506.0,3534.15,3485.7,3526.05,1086001
2021-11-15,3528.0,3569.6,3528.0,3553.3,1104175
2021-11-16,3569.0,3575.55,3542.0,3556.4,1371662
2021-11-17,3550.6,3562.85,3506.4,3521.9,1033842
2021-11-18,3515.15,3520.85,3451.6,3475.7,1367516
2021-11-22,3478.4,3515.95,3440.3,3458.4,2146221
2021-11-23,3445.0,3480.95,3407.8,3464.25,1449786
2021-11-24,3472.2,3493.05,3424.0,3443.3,1640323
2021-11-25,3443.9,3463.0,3434.05,3445.9,1294556
2021-11-26,3425.0,3490.0,3411.9,3446.85,1152929
2021-11-29,3447.15,3529.35,3406.45,3502.0,1648719
2021-11-30,3491.0,3563.75,3491.0,3529.15,3849797
2021-12-01,3535.0,3590.0,3535.0,3577.8,1311474
2021-12-02,3589.2,3648.0,3574.1,3642.9,2208112
2021-12-03,3646.45,3665.95,3630.85,3640.45,1904713
2021-12-06,3640.45,3658.0,3522.0,3536.4,1050297
2021-12-07,3562.5,3598.0,3524.3,3584.5,812623
2021-12-08,3601.0,3646.45,3601.0,3626.9,826623
2021-12-09,3610.0,3634.75,3566.0,3601.75,890952
2021-12-10,3585.0,3642.0,3575.1,3636.8,833404
2021-12-13,3650.0,3662.0,3601.7,3609.65,1329794
2021-12-14,3605.0,3635.0,3576.7,3623.8,1216832
2021-12-15,3620.0,3623.0,3558.15,3570.35,1141894
2021-12-16,3582.0,3608.45,3570.0,3581.6,1560825
2021-12-17,3602.5,3651.35,3573.7,3584.35,2677223
2021-12-20,3589.0,3606.0,3510.15,3556.9,1243439
2021-12-21,3582.65,3641.2,3566.4,3608.3,1470826
2021-12-22,3624.0,3636.8,3606.25,3630.75,755182
2021-12-23,3648.0,3670.5,3630.0,3662.7,1107607
2021-12-24,3685.0,3705.0,3644.8,3670.9,1156092
2021-12-27,3671.0,3700.0,3653.1,3696.1,866793
2021-12-28,3710.0,3725.0,3693.85,3706.55,917903
2021-12-29,3692.25,3719.95,3685.0,3694.7,1091321
2021-12-30,3681.35,3740.0,3680.0,3733.75,1296163
2021-12-31,3742.8,3760.0,3731.3,3738.35,727618
2022-01-03,3750.0,3830.0,3745.0,3817.75,1433211
2022-01-04,3831.1,3889.15,3811.7,3884.75,1539134
2022-01-05,3865.0,3870.0,3812.4,3860.95,988277
2022-01-06,3812.0,3835.0,3772.0,3807.45,995325
